Molecule ChEMBL ID,Smiles,Standard Value,Standard Units,pIC50
CHEMBL4216412,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C)C=C(C(F)F)OC(N)=N2)c1,63.9,nM,7.19
CHEMBL4204742,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C)C=C(CF)OC(N)=N2)c1,66.6,nM,7.18
CHEMBL1644466,COc1ccc(C2NC(=O)c3cc(cc(N(C)S(C)(=O)=O)c3)C(=O)N[C@H]([C@@H](O)C[C@H](C(=O)NCC(C)C)C(C)C)COCc3cccc2c3)cc1,3100.0,nM,5.51
CHEMBL4062699,[2H]C1([2H])OC(N)=N[C@]12c1cc(-c3cc(Cl)cc(C#N)c3)ccc1C[C@]21CC[C@@H](OC)CC1,4.8,nM,8.32
CHEMBL522778,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CCCCCCCCCC(=O)N[C@@H](C)C(=O)N1,7600.0,nM,5.12
CHEMBL461603,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCCCCCC(=O)N(C)[C@@H](C)C(=O)N1,2500.0,nM,5.6
CHEMBL3640258,COc1nc(N2C[C@H]3C(=O)N(C)C(N)=N[C@@]3(c3c(F)cccc3F)C2)nc(C)c1F,49.0,nM,7.31
CHEMBL3640263,COc1nc(N2C[C@H]3C(=O)N(C)C(N)=N[C@@]3(c3ccc(F)cc3)C2)nc(C)c1F,16.0,nM,7.8
CHEMBL3683807,NC1=N[C@@](CF)(c2cc(NC(=O)c3nn(C(F)F)cc3Cl)cc(F)c2F)[C@@H]2C[C@@H]2O1,21150.0,nM,4.67
CHEMBL3683814,Cc1ncc(Cl)nc1C(=O)Nc1ccc(F)c([C@]2(C(F)F)N=C(N)O[C@H]3C[C@H]32)c1,2510.0,nM,5.6
CHEMBL3683826,COc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)c(Cl)c1,56.8,nM,7.25
CHEMBL3683828,COc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)cn1,76.3,nM,7.12
CHEMBL3683830,NC1=N[C@@](c2cc(NC(=O)c3ccc(Br)cn3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,24.7,nM,7.61
CHEMBL3688818,CC(C)c1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,134.0,nM,6.87
CHEMBL3688821,COc1cc(C#N)cnc1C(=O)Nc1ccc(Cl)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,81.0,nM,7.09
CHEMBL3688825,[C-]#[N+]c1cnc2c(c1)CC[C@H]2Nc1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,108.1,nM,6.97
CHEMBL3693250,NC1=N[C@@](c2cc(-n3cc(C#CC4CC4)cn3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,8625.0,nM,5.06
CHEMBL3703231,COc1cccnc1Nc1ccc2c(c1)C1(COC(N)=N1)C1(COC1)CO2,3750.0,nM,5.43
CHEMBL3703258,NC1=NC2(CO1)c1cc(-c3cncc(C4CC4)c3)ccc1OCC21CC1,3690.0,nM,5.43
CHEMBL3703253,CC1(C)Oc2ccc(-c3cncnc3)cc2C2(COC(N)=N2)C12COC2,397.0,nM,6.4
CHEMBL3703269,NC1=NC2(CO1)c1cc(-c3cncc(F)c3)ccc1OC1(CCC1)C21COC1,1750.0,nM,5.76
CHEMBL3703228,C#Cc1cncc(-c2ccc3c(c2)C2(COC(N)=N2)C2(COC2)CO3)c1,519.0,nM,6.29
CHEMBL3654216,Cn1ccc([C@H]2C[C@H]3CSC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)n1,183.0,nM,6.74
CHEMBL3691366,NC1=N[C@@]2(c3ccccc3)COCC[C@H]2CS1,10400.0,nM,4.98
CHEMBL3691374,NC1=N[C@@]2(c3ccccc3F)CO[C@@H](COc3ncccn3)C[C@H]2CS1,8030.0,nM,5.09
CHEMBL3691364,NC1=N[C@@]2(c3ccccc3F)COCC[C@H]2CS1,7950.0,nM,5.1
CHEMBL3672695,CC1=N[C@]2(N=C1N)c1cc(OCCCF)ccc1C[C@]21CC[C@@H](OC(F)F)CC1,3.0,nM,8.52
CHEMBL4077530,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1CO[C@@H](OCC(C)(C)C)[C@H](C)N1.Cl,79.0,nM,7.1
CHEMBL4085364,[2H]C1([2H])OC(N)=N[C@]12c1cc(-c3cncnc3)ccc1C[C@@]21C[C@@H](C)[C@H](OC)[C@@H](C)C1,1.5,nM,8.82
CHEMBL3673194,NC1=N[C@@]2(c3cc(CNCC(F)(F)F)c(F)cc3F)CO[C@@H](CF)C[C@H]2CS1,77.0,nM,7.11
CHEMBL4095483,Fc1ccc(-c2cnc(-c3cccc(-c4cnc(-c5c[nH]c6cc(OC(F)(F)F)ccc56)[nH]4)c3)[nH]2)cc1,180.0,nM,6.75
CHEMBL1221977,CN(C(=O)CCCn1c(N)nc2cc(Cl)ccc21)C1CCCCC1,26000.0,nM,4.58
CHEMBL1222238,CC[C@@H](CC(=O)NCC1CC1)n1c(N)nc2cc(Cl)ccc21,243000.0,nM,3.61
CHEMBL1222301,CC[C@@H](CC(=O)NCCC(C)(C)C)n1c(N)nc2cc(Cl)ccc21,95000.0,nM,4.02
CHEMBL1222368,CC[C@@H](CC(=O)N[C@@H](COC(C)(C)C)C(=O)O)n1c(N)nc2cc(Cl)ccc21,87000.0,nM,4.06
CHEMBL1221454,CC(C)C[C@@H](CC(=O)NCc1cccc(F)c1)n1c(N)nc2cc(Cl)ccc21,54000.0,nM,4.27
CHEMBL508791,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(Oc4c(O)cc(Oc5c(O)cc(O)c6c5Oc5c(O)cc(O)cc5O6)cc4O)cc2O3)c1,2210.0,nM,5.66
CHEMBL1092475,CN1C(=O)C(c2ccncc2)(c2cccc(-c3cccc(C#N)c3)c2)N=C1N,40.0,nM,7.4
CHEMBL1092787,CN1C(=O)C(c2ccncc2)(c2cccc(-c3cc(F)ccc3F)c2)N=C1N,50.0,nM,7.3
CHEMBL4066885,C[C@@]1(c2cc(CNCC(F)F)c(F)cc2F)CCSC(N)=N1,5890.0,nM,5.23
CHEMBL4091480,Cc1ccc(NCc2cc([C@]3(C)CCSC(N)=N3)c(F)cc2F)nc1,73500.0,nM,4.13
CHEMBL585286,CCCCOc1ccc(C2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)cc1,870.96,nM,6.06
CHEMBL260834,CC(C)(C)c1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(Cc3cc(F)cc(F)c3)C(=O)N2)c1,430.0,nM,6.37
CHEMBL206442,O=C(Nc1cc(Br)ccc1N1CCN(Cc2ccccc2)CC1)c1cc2ccccc2oc1=O,760.0,nM,6.12
CHEMBL3973828,COC1CCC2(CC1)Oc1ccccc1C21N=C(N)N(C)C1=O,1198.0,nM,5.92
CHEMBL3894131,COC1CCC2(CC1)Cc1ccc(-c3cccc(Cl)c3)cc1C21N=C(N)N(C(C)C)C1=O,53.2,nM,7.27
CHEMBL3894277,COC1CCC2(CC1)Cc1ccc(F)cc1C21N=C(N)N(C)C1=O,79.8,nM,7.1
CHEMBL5192629,NC1=N[C@](CF)(c2cc(-c3cnc(OCF)cn3)ccc2F)CCC1(F)F,8.9,nM,8.05
CHEMBL3922254,COC1CCC2(CC1)Cc1ccc(Br)cc1C21NC(=S)N(C2CCOCC2)C1=O,80.5,nM,7.09
CHEMBL3907602,COC1CCC2(CC1)Cc1ccc(-c3cnc(C)s3)cc1C21N=C(N)N(C)C1=O,14.0,nM,7.85
CHEMBL3656227,COCCN1C(=O)C2(N=C1N)c1cc(Cl)ccc1C[C@]21CC[C@@H](OC)CC1,88.0,nM,7.06
CHEMBL3703307,N#Cc1ncccc1-c1ccc2c(c1)C1(COC(N)=N1)C1(COC1)C1(CCC1)O2,1100.0,nM,5.96
