Molecule ChEMBL ID,Smiles,Standard Value,Standard Units,pIC50,Mol,MolWt,LogP,TPSA,HBD,HBA,RotBonds
CHEMBL4216412,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C)C=C(C(F)F)OC(N)=N2)c1,63.9,nM,7.19,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558120>,415.3750000000001,3.3622000000000014,113.39,2,6,4
CHEMBL4204742,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C)C=C(CF)OC(N)=N2)c1,66.6,nM,7.18,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558190>,397.38500000000016,3.066600000000001,113.39,2,6,4
CHEMBL1644466,COc1ccc(C2NC(=O)c3cc(cc(N(C)S(C)(=O)=O)c3)C(=O)N[C@H]([C@@H](O)C[C@H](C(=O)NCC(C)C)C(C)C)COCc3cccc2c3)cc1,3100.0,nM,5.51,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558200>,722.905,4.034400000000003,163.37,4,8,11
CHEMBL4062699,[2H]C1([2H])OC(N)=N[C@]12c1cc(-c3cc(Cl)cc(C#N)c3)ccc1C[C@]21CC[C@@H](OC)CC1,4.8,nM,8.32,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558270>,423.9402035560003,4.550380000000004,80.63000000000001,1,5,2
CHEMBL522778,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CCCCCCCCCC(=O)N[C@@H](C)C(=O)N1,7600.0,nM,5.12,<rdkit.Chem.rdchem.Mol object at 0x000001D5A45582E0>,425.61400000000015,2.8038000000000007,107.53,4,4,7
CHEMBL461603,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCCCCCC(=O)N(C)[C@@H](C)C(=O)N1,2500.0,nM,5.6,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558350>,453.6680000000003,3.392000000000002,98.74000000000001,3,4,7
CHEMBL3640258,COc1nc(N2C[C@H]3C(=O)N(C)C(N)=N[C@@]3(c3c(F)cccc3F)C2)nc(C)c1F,49.0,nM,7.31,<rdkit.Chem.rdchem.Mol object at 0x000001D5A45583C0>,420.39500000000015,1.32932,96.94,1,7,3
CHEMBL3640263,COc1nc(N2C[C@H]3C(=O)N(C)C(N)=N[C@@]3(c3ccc(F)cc3)C2)nc(C)c1F,16.0,nM,7.8,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558430>,402.40500000000014,1.1902200000000003,96.94,1,7,3
CHEMBL3683807,NC1=N[C@@](CF)(c2cc(NC(=O)c3nn(C(F)F)cc3Cl)cc(F)c2F)[C@@H]2C[C@@H]2O1,21150.0,nM,4.67,<rdkit.Chem.rdchem.Mol object at 0x000001D5A45584A0>,449.76700000000017,3.3603000000000014,94.52999999999999,2,5,5
CHEMBL3683814,Cc1ncc(Cl)nc1C(=O)Nc1ccc(F)c([C@]2(C(F)F)N=C(N)O[C@H]3C[C@H]32)c1,2510.0,nM,5.6,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558510>,425.7980000000001,3.023620000000001,102.49000000000001,2,6,4
